# x, y, theta, v_l, v_r
18.33, 580.21, 1.430, 99.90, 99.90
18.47, 581.20, 1.430, 99.90, 99.90
18.61, 582.19, 1.430, 99.90, 99.90
18.75, 583.18, 1.430, 99.90, 99.90
18.89, 584.17, 1.430, 99.90, 99.90
19.03, 585.16, 1.430, 99.90, 99.90
19.17, 586.15, 1.430, 99.90, 99.90
19.31, 587.14, 1.430, 99.90, 99.90
19.45, 588.13, 1.430, 99.90, 99.90
19.59, 589.12, 1.430, 99.90, 99.90
19.73, 590.10, 1.430, 99.90, 99.90
19.87, 591.09, 1.430, 99.90, 99.90
20.01, 592.08, 1.430, 99.90, 99.90
20.15, 593.07, 1.430, 99.90, 99.90
20.29, 594.06, 1.430, 99.90, 99.90
20.43, 595.05, 1.430, 99.90, 99.90
20.57, 596.04, 1.430, 99.90, 99.90
20.72, 597.03, 1.430, 99.90, 99.90
20.63, 597.72, 1.940, 48.88, 99.90
20.27, 598.65, 1.940, 99.90, 99.90
19.91, 599.58, 1.940, 99.90, 99.90
19.48, 599.98, 2.441, 49.85, 99.90
18.72, 600.62, 2.441, 99.90, 99.90
18.29, 601.43, 1.931, 99.90, 48.88
17.94, 602.37, 1.931, 99.90, 99.90
17.59, 603.30, 1.931, 99.90, 99.90
17.24, 604.24, 1.931, 99.90, 99.90
16.88, 605.17, 1.931, 99.90, 99.90
16.53, 606.11, 1.931, 99.90, 99.90
16.18, 607.04, 1.931, 99.90, 99.90
15.83, 607.98, 1.931, 99.90, 99.90
15.48, 608.91, 1.931, 99.90, 99.90
15.13, 609.85, 1.931, 99.90, 99.90
14.77, 610.78, 1.931, 99.90, 99.90
14.42, 611.72, 1.931, 99.90, 99.90
14.07, 612.65, 1.931, 99.90, 99.90
13.72, 613.59, 1.931, 99.90, 99.90
13.37, 614.52, 1.931, 99.90, 99.90
13.02, 615.46, 1.931, 99.90, 99.90
12.66, 616.39, 1.931, 99.90, 99.90
12.31, 617.33, 1.931, 99.90, 99.90
11.96, 618.26, 1.931, 99.90, 99.90
11.61, 619.20, 1.931, 99.90, 99.90
11.26, 620.13, 1.931, 99.90, 99.90
10.91, 621.07, 1.931, 99.90, 99.90
10.83, 621.84, 1.420, 99.90, 48.88
10.98, 622.82, 1.420, 99.90, 99.90
11.13, 623.81, 1.420, 99.90, 99.90
11.28, 624.80, 1.420, 99.90, 99.90
11.43, 625.79, 1.420, 99.90, 99.90
11.58, 626.78, 1.420, 99.90, 99.90
11.73, 627.76, 1.420, 99.90, 99.90
11.88, 628.75, 1.420, 99.90, 99.90
12.03, 629.74, 1.420, 99.90, 99.90
12.18, 630.73, 1.420, 99.90, 99.90
12.33, 631.71, 1.420, 99.90, 99.90
12.48, 632.70, 1.420, 99.90, 99.90
12.63, 633.69, 1.420, 99.90, 99.90
12.78, 634.68, 1.420, 99.90, 99.90
12.93, 635.66, 1.420, 99.90, 99.90
13.08, 636.65, 1.420, 99.90, 99.90
13.23, 637.64, 1.420, 99.90, 99.90
13.38, 638.63, 1.420, 99.90, 99.90
13.53, 639.62, 1.420, 99.90, 99.90
13.68, 640.60, 1.420, 99.90, 99.90
13.83, 641.59, 1.420, 99.90, 99.90
13.98, 642.58, 1.420, 99.90, 99.90
14.13, 643.57, 1.420, 99.90, 99.90
14.28, 644.55, 1.420, 99.90, 99.90
14.42, 645.54, 1.420, 99.90, 99.90
14.57, 646.53, 1.420, 99.90, 99.90
14.72, 647.52, 1.420, 99.90, 99.90
14.87, 648.51, 1.420, 99.90, 99.90
15.02, 649.49, 1.420, 99.90, 99.90
15.17, 650.48, 1.420, 99.90, 99.90
15.32, 651.47, 1.420, 99.90, 99.90
15.47, 652.46, 1.420, 99.90, 99.90
15.62, 653.44, 1.420, 99.90, 99.90
15.77, 654.43, 1.420, 99.90, 99.90
15.92, 655.42, 1.420, 99.90, 99.90
16.07, 656.41, 1.420, 99.90, 99.90
16.22, 657.39, 1.420, 99.90, 99.90
16.37, 658.38, 1.420, 99.90, 99.90
